step,accuracy01,accuracy01/std,f1/_macro,f1/_micro,f1/_weighted,f1/class_00,f1/class_01,f1/class_02,f1/class_03,f1/class_04,f1/class_05,f1/class_06,f1/class_07,f1/class_08,f1/class_09,loss,loss/mean,loss/std,lr,momentum,precision/_macro,precision/_micro,precision/_weighted,precision/class_00,precision/class_01,precision/class_02,precision/class_03,precision/class_04,precision/class_05,precision/class_06,precision/class_07,precision/class_08,precision/class_09,recall/_macro,recall/_micro,recall/_weighted,recall/class_00,recall/class_01,recall/class_02,recall/class_03,recall/class_04,recall/class_05,recall/class_06,recall/class_07,recall/class_08,recall/class_09,support/class_00,support/class_01,support/class_02,support/class_03,support/class_04,support/class_05,support/class_06,support/class_07,support/class_08,support/class_09
step,accuracy01,accuracy01/std,f1/_macro,f1/_micro,f1/_weighted,f1/class_00,f1/class_01,f1/class_02,f1/class_03,f1/class_04,f1/class_05,f1/class_06,f1/class_07,f1/class_08,f1/class_09,loss,loss/mean,loss/std,lr,momentum,precision/_macro,precision/_micro,precision/_weighted,precision/class_00,precision/class_01,precision/class_02,precision/class_03,precision/class_04,precision/class_05,precision/class_06,precision/class_07,precision/class_08,precision/class_09,recall/_macro,recall/_micro,recall/_weighted,recall/class_00,recall/class_01,recall/class_02,recall/class_03,recall/class_04,recall/class_05,recall/class_06,recall/class_07,recall/class_08,recall/class_09,support/class_00,support/class_01,support/class_02,support/class_03,support/class_04,support/class_05,support/class_06,support/class_07,support/class_08,support/class_09
1,0.3000000002384186,0.27504344002259595,0.2994823555439642,0.299995000083332,0.30055990839351476,0.36537961545303554,0.3733288036105162,0.23728555015744382,0.2828232875078801,0.2719952000847044,0.391299347889975,0.36799530757983445,0.24999506666540044,0.3008799562268596,0.15384142026399186,2.9545640501976016,2.9545640501976016,1.8158971529489492,0.001,0.9,0.35973135318787497,0.30000000000000004,0.3620713754844189,0.3653846153846154,0.5384615384615384,0.7777777777777778,0.29166666666666663,0.22666666666666668,0.3913043478260869,0.2948717948717948,0.28260869565217395,0.3035714285714286,0.125,0.30086583000437866,0.30000000000000004,0.30000000000000004,0.3653846153846154,0.2857142857142857,0.14,0.27450980392156865,0.33999999999999997,0.3913043478260869,0.4893617021276596,0.22413793103448276,0.29824561403508776,0.19999999999999996,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
2,0.2620000007152557,0.07268033035739328,0.23281904476211554,0.2619950000954181,0.2323897589250073,0.3404205885733681,0.4873901137406835,0.08988271709836114,0.34730114674048296,0.13591733452237884,0.0,0.4301025275179328,0.21738643153119658,0.09374805179829865,0.18604153609845317,2.1364025287628174,2.1364025287628174,0.20807208756583004,0.001,0.9,0.2504644750245652,0.262,0.2545727565980643,0.38095238095238093,0.41428571428571426,0.10256410256410253,0.25,0.13207547169811318,0.0,0.4347826086956522,0.1875,0.4285714285714286,0.17391304347826086,0.26249406768627354,0.262,0.26199999999999996,0.3076923076923077,0.5918367346938775,0.07999999999999996,0.5686274509803921,0.14,0.0,0.42553191489361697,0.2586206896551724,0.052631578947368474,0.19999999999999996,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
3,0.30400000262260435,0.059055990005519865,0.2574067229477745,0.30399500008223557,0.26350263098670473,0.3853161115030385,0.5660327643726073,0.07547063013259253,0.2716002744285087,0.062496582218159985,0.07692103555713324,0.3921518935654663,0.29411396092466735,0.36486012880508484,0.08510384797048605,1.8793596076965333,1.8793596076965333,0.1268986733848933,0.001,0.9,0.35447590421274633,0.30400000000000005,0.35233247687984526,0.368421052631579,0.5263157894736843,0.6666666666666667,0.3666666666666667,0.1428571428571429,0.33333333333333337,0.36363636363636365,0.19444444444444442,0.29670329670329665,0.2857142857142857,0.2907919988466709,0.30400000000000005,0.304,0.40384615384615385,0.6122448979591837,0.040000000000000036,0.21568627450980393,0.040000000000000036,0.04347826086956519,0.42553191489361697,0.603448275862069,0.4736842105263158,0.050000000000000044,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
4,0.3680000023841858,0.044675016354971175,0.3384739167451263,0.36799500006793384,0.3426147492165509,0.4468035672796812,0.4966398811256711,0.17910069065703832,0.4624235878619022,0.30107029722627476,0.2025267810814291,0.41757742307628154,0.3111065284625649,0.379995098063235,0.18749531261718458,1.7613893032073975,1.7613893032073975,0.12504333876124477,0.001,0.9,0.36799943136371455,0.368,0.3735709125499574,0.5,0.37,0.3529411764705882,0.3278688524590164,0.32558139534883723,0.24242424242424243,0.43181818181818177,0.4375,0.4418604651162791,0.25,0.3646142926458035,0.368,0.368,0.40384615384615385,0.7551020408163265,0.12,0.7843137254901961,0.28,0.17391304347826086,0.4042553191489362,0.24137931034482762,0.33333333333333337,0.15000000000000002,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
5,0.39400000095367427,0.09367143131375708,0.37521729779188717,0.393995000063451,0.3781956053639948,0.4599950080541734,0.5393208938719476,0.07407270235736382,0.3564306441246286,0.32608199440443303,0.3047569814854301,0.4285664369594296,0.441374510397027,0.46714842564593767,0.3544253806185012,1.6154751176834106,1.6154751176834106,0.0889924449326243,0.001,0.9,0.4106051121298225,0.394,0.4117072693275485,0.47916666666666663,0.6,0.5,0.36,0.3571428571428571,0.27118644067796616,0.4117647058823529,0.367816091954023,0.4,0.3589743589743589,0.38828070314434115,0.394,0.394,0.4423076923076923,0.4897959183673469,0.040000000000000036,0.3529411764705882,0.30000000000000004,0.34782608695652173,0.44680851063829785,0.5517241379310345,0.5614035087719298,0.35,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
6,0.48000000047683716,0.06402016654576616,0.4558737138654119,0.47999500005208284,0.46089052293245764,0.5593171043238262,0.6545405140868772,0.1724114150149653,0.4999952063447868,0.4301025552661623,0.26666166922945816,0.6041616688781485,0.4892037700395436,0.549014677091573,0.33332855837877806,1.4572616834640504,1.4572616834640504,0.12599927412944076,0.001,0.9,0.4925480868220461,0.48,0.4954317112266698,0.5,0.5901639344262295,0.625,0.4155844155844156,0.4651162790697675,0.2727272727272727,0.5918367346938775,0.41975308641975306,0.6222222222222222,0.42307692307692313,0.4727086051098861,0.48,0.48,0.6346153846153846,0.7346938775510203,0.09999999999999998,0.6274509803921569,0.4,0.26086956521739135,0.6170212765957447,0.5862068965517242,0.49122807017543857,0.275,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
7,0.4520000021457672,0.0754995935892963,0.43959904793931504,0.45199500005530907,0.44245540664728933,0.532105102310904,0.6451563048136445,0.28234809696892454,0.5263110611539038,0.21175986170251007,0.30555094142770267,0.5869515241446314,0.43749504400145467,0.5087669298736989,0.3595456129957762,1.4802116813659667,1.4802116813659667,0.16493891351031717,0.001,0.9,0.4475798845081809,0.45199999999999996,0.44911257378845865,0.5087719298245614,0.6818181818181819,0.34285714285714286,0.426829268292683,0.2571428571428571,0.42307692307692313,0.6,0.4,0.5087719298245614,0.326530612244898,0.44813407858586213,0.45199999999999996,0.45199999999999996,0.5576923076923077,0.6122448979591837,0.24,0.6862745098039216,0.18000000000000005,0.23913043478260865,0.574468085106383,0.48275862068965514,0.5087719298245614,0.4,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
8,0.49400000071525574,0.07552332602373134,0.4897562843095586,0.4939950000506068,0.4898027451870041,0.584065828219879,0.6605455096743158,0.3589697567979898,0.4537766146987247,0.3789423823370745,0.4222172247505094,0.599995009918045,0.44603830241832276,0.5242669017338498,0.4687453125468745,1.329815475463867,1.329815475463867,0.13987013097301818,0.001,0.9,0.5092440159771003,0.494,0.5056209288298494,0.540983606557377,0.6,0.5,0.3970588235294118,0.4,0.43181818181818177,0.627906976744186,0.3827160493827161,0.5869565217391304,0.625,0.4909399559386546,0.494,0.494,0.6346153846153846,0.7346938775510203,0.28,0.5294117647058824,0.36,0.4130434782608695,0.574468085106383,0.5344827586206897,0.4736842105263158,0.375,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
9,0.5740000019073487,0.076693658004713,0.5702307591806469,0.5739950000435537,0.5700308551753015,0.594054410393935,0.6990241380316363,0.384610782435082,0.6666616821360339,0.44799520005142807,0.6249950087204166,0.5940544299995268,0.5050456525310637,0.63792603600825,0.5479402514990961,1.2083362693786621,1.2083362693786621,0.11028477373276273,0.001,0.9,0.5818029034286825,0.5740000000000001,0.5824629207053019,0.6122448979591837,0.6666666666666667,0.5357142857142857,0.631578947368421,0.3733333333333333,0.6,0.5555555555555556,0.6097560975609756,0.6271186440677966,0.6060606060606061,0.5748128382575342,0.5740000000000001,0.5740000000000001,0.5769230769230769,0.7346938775510203,0.30000000000000004,0.7058823529411764,0.56,0.6521739130434783,0.6382978723404256,0.43103448275862066,0.6491228070175439,0.5,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
10,0.6240000009536744,0.0778872341974473,0.611637839167822,0.6239950000400637,0.6138038296683566,0.6464596592569216,0.7499950166751234,0.4390196312235098,0.67256141909826,0.426662222268518,0.5869515217817226,0.6741523191884716,0.6357568580677533,0.7058773618035282,0.5789423823144106,1.0565093536376953,1.0565093536376953,0.09671808728167691,0.001,0.9,0.6311246932959879,0.624,0.6301940689867594,0.6808510638297872,0.7090909090909091,0.5625,0.6129032258064516,0.64,0.5869565217391304,0.7142857142857143,0.5161290322580645,0.6774193548387097,0.6111111111111112,0.6176083728186506,0.624,0.624,0.6153846153846154,0.7959183673469388,0.36,0.7450980392156863,0.31999999999999995,0.5869565217391304,0.6382978723404256,0.8275862068965517,0.736842105263158,0.55,52.0,49.0,50.0,51.0,50.0,46.0,47.0,58.0,57.0,40.0
