step,accuracy01,accuracy01/std,f1/_macro,f1/_micro,f1/_weighted,loss,loss/mean,loss/std,lr,momentum,precision/_macro,precision/_micro,precision/_weighted,recall/_macro,recall/_micro,recall/_weighted
3,0.896484375,0.03570456542936565,0.1792673253936618,0.8964793750278865,0.896441810100885,0.2774425446987152,0.2774425446987152,0.07625836572801914,0.001,0.9,0.17934303890384146,0.896484375,0.8965805497996697,0.17922793836944736,0.896484375,0.896484375
4,0.91015625,0.06095991959104281,0.18202997656765052,0.9101512500274677,0.9101416572724461,0.19352570176124573,0.19352570176124573,0.09754999651499113,0.001,0.9,0.18218475073313783,0.91015625,0.9114993814149561,0.1821496183206107,0.91015625,0.91015625
5,0.962890625,0.02855933158321651,0.1925707494738594,0.9628856250259633,0.9628707492850626,0.1266709566116333,0.1266709566116333,0.07796989072011874,0.001,0.9,0.19268210655048537,0.962890625,0.963221475387908,0.19253357753357753,0.962890625,0.962890625
6,0.984375,0.01713428767657693,0.19687228244782745,0.9843700000253967,0.9843700000253967,0.049809545278549194,0.049809545278549194,0.03315392101814198,0.001,0.9,0.1968732824427481,0.984375,0.984375,0.1968732824427481,0.984375,0.984375
7,0.986328125,0.024453995148173487,0.19726336229769595,0.9863231250253464,0.98632369900406,0.03989008069038391,0.03989008069038391,0.038830736722590985,0.001,0.9,0.1972569492146357,0.986328125,0.9863368007853643,0.19727328244274808,0.986328125,0.986328125
8,0.982421875,0.02684477233313349,0.19648110708019698,0.9824168750254472,0.9824160027642598,0.043096378445625305,0.043096378445625305,0.05028401002472268,0.001,0.9,0.1964924336127781,0.982421875,0.9824276311519843,0.1964732824427481,0.982421875,0.982421875
9,0.984375,0.018897989707815564,0.19687380927383524,0.9843700000253967,0.9843704769679535,0.031072814017534256,0.031072814017534256,0.02460396876293352,0.001,0.9,0.19687190051117726,0.984375,0.9844059948882277,0.19688372731850992,0.984375,0.984375
10,0.984375,0.01847507981689288,0.1968735707926936,0.9843700000253967,0.9843700000253967,0.037794627249240875,0.037794627249240875,0.03075917196888837,0.001,0.9,0.19687457078761428,0.984375,0.984375,0.19687457078761428,0.984375,0.984375
step,accuracy01,accuracy01/std,f1/_macro,f1/_micro,f1/_weighted,loss,loss/mean,loss/std,lr,momentum,precision/_macro,precision/_micro,precision/_weighted,recall/_macro,recall/_micro,recall/_weighted
1,0.34375,0.2547814990130417,0.3351084136299746,0.34374500007272624,0.3367692793189738,3.1436593532562256,3.1436593532562256,1.5514927467498758,0.001,0.9,0.3866124105366509,0.34375,0.39023970978458955,0.34101768729497406,0.34375,0.34375
2,0.36328125,0.0666962536119152,0.336614244113668,0.36327625006881625,0.3428560514357982,1.8934855461120605,1.8934855461120605,0.2221338948140658,0.001,0.9,0.3495259638952713,0.36328125,0.3520594486799954,0.3554515993485116,0.36328125,0.36328125
3,0.44921875,0.07126851919437711,0.4162514604541941,0.44921375005565156,0.4187443954900566,1.5090687274932861,1.5090687274932861,0.15454182710279546,0.001,0.9,0.4402107434475333,0.44921875,0.44033819803834573,0.4438978016460574,0.44921875,0.44921875
4,0.65234375,0.08275419187079602,0.6496557275896462,0.652338750038323,0.6483300359705872,1.0873894691467285,1.0873894691467285,0.14493301849867574,0.001,0.9,0.6709936684732518,0.65234375,0.6697115096837913,0.6531098639215573,0.65234375,0.65234375
